17/11/2022 13:27:24.759779
Waveform Generator Sample Rate,1000Hz
Keithley Sample Rate,1000Hz
Search Coil Sample Rate,1000Hz
Waveform Generator,Keithley,Search Coil
-0.688,-0.101,-0.135
-0.489,-0.067,0.236
-0.233,-0.031,-0.212
-0.221,-0.035,-0.206
-0.213,-0.037,-0.138
-0.183,-0.031,0.654
0.112,0.018,0.877
0.382,0.058,1.074
0.627,0.091,1.279
0.854,0.121,0.229
0.635,0.076,0.091
0.443,0.042,-0.284
0.188,0.005,0.212
0.196,0.013,0.233
0.210,0.018,0.138
0.185,0.012,-0.698
-0.124,-0.039,-0.959
-0.416,-0.083,-1.183
-0.684,-0.119,-1.366
-0.919,-0.148,-0.291
-0.697,-0.103,-0.133
-0.495,-0.068,0.218
-0.242,-0.032,-0.236
-0.236,-0.036,-0.202
-0.221,-0.038,-0.119
-0.182,-0.030,0.709
0.132,0.022,0.923
0.412,0.063,1.080
0.648,0.094,1.275
0.866,0.122,0.217
0.639,0.076,0.098
0.448,0.042,-0.303
0.184,0.005,0.198
0.188,0.011,0.200
0.192,0.015,0.124
0.168,0.010,-0.707
-0.137,-0.041,-0.936
-0.417,-0.083,-1.156
-0.675,-0.117,-1.357
-0.910,-0.147,-0.277
-0.686,-0.101,-0.168
-0.500,-0.069,0.199
-0.252,-0.034,-0.245
-0.245,-0.038,-0.214
-0.232,-0.039,-0.150
-0.200,-0.033,0.676
0.108,0.018,0.904
0.390,0.060,1.094
0.639,0.093,1.300
0.868,0.123,0.248
0.651,0.078,0.114
0.461,0.044,-0.276
0.203,0.007,0.234
0.213,0.015,0.249
0.226,0.021,0.176
0.209,0.016,-0.657
-0.094,-0.034,-0.887
-0.371,-0.076,-1.138
-0.639,-0.112,-1.346
-0.882,-0.143,-0.294
-0.674,-0.100,-0.153
-0.487,-0.067,0.211
-0.239,-0.032,-0.246
-0.237,-0.037,-0.198
-0.221,-0.038,-0.116
-0.181,-0.030,0.719
0.136,0.022,0.952
0.424,0.065,1.134
0.675,0.099,1.319
0.899,0.127,0.255
0.674,0.081,0.119
0.478,0.047,-0.274
0.215,0.009,0.206
0.211,0.014,0.232
0.219,0.019,0.148
0.194,0.013,-0.683
-0.113,-0.037,-0.921
-0.396,-0.080,-1.166
-0.664,-0.116,-1.375
-0.909,-0.147,-0.316
-0.699,-0.103,-0.155
-0.503,-0.070,0.219
-0.247,-0.032,-0.219
-0.233,-0.036,-0.179
-0.212,-0.036,-0.123
-0.177,-0.030,0.708
0.135,0.022,0.932
0.416,0.064,1.140
0.672,0.098,1.319
0.897,0.127,0.245
0.669,0.080,0.108
0.471,0.045,-0.294
0.204,0.007,0.206
0.203,0.013,0.202
0.203,0.016,0.123
0.174,0.010,-0.720
-0.138,-0.041,-0.943
-0.419,-0.083,-1.182
-0.685,-0.119,-1.373
-0.921,-0.149,-0.312
-0.706,-0.104,-0.213
-0.528,-0.074,0.163
-0.283,-0.038,-0.278
-0.277,-0.043,-0.240
-0.261,-0.043,-0.157
-0.221,-0.036,0.685
0.098,0.017,0.898
0.380,0.059,1.095
0.633,0.093,1.278
0.858,0.121,0.224
0.637,0.076,0.136
0.459,0.045,-0.256
0.209,0.008,0.229
0.215,0.015,0.230
0.221,0.019,0.121
0.185,0.012,-0.697
-0.123,-0.039,-0.912
-0.399,-0.080,-1.172
-0.669,-0.116,-1.359
-0.907,-0.147,-0.287
-0.688,-0.102,-0.163
-0.500,-0.069,0.203
-0.251,-0.033,-0.241
-0.242,-0.038,-0.167
-0.214,-0.036,-0.093
-0.168,-0.028,0.723
0.146,0.024,0.925
0.421,0.064,1.103
0.662,0.096,1.264
0.872,0.123,0.211
0.640,0.076,0.037
0.427,0.039,-0.337
0.160,0.001,0.203
0.174,0.010,0.225
0.193,0.016,0.158
0.181,0.012,-0.673
-0.117,-0.037,-0.862
-0.378,-0.076,-1.078
-0.622,-0.108,-1.243
-0.835,-0.135,-0.190
-0.607,-0.090,-0.084
-0.419,-0.057,0.245
-0.184,-0.025,-0.199
-0.186,-0.030,-0.157
-0.173,-0.031,-0.095
-0.142,-0.025,0.709
0.158,0.024,0.886
0.415,0.063,1.055
0.641,0.092,1.184
0.829,0.116,0.117
0.581,0.066,-0.010
0.372,0.031,-0.403
0.101,-0.008,0.087
0.095,-0.003,0.119
0.104,0.003,0.067
