28/10/2022 10:59:55.369245
Waveform Generator Sample Rate,1000Hz
Keithley Sample Rate,1000Hz
Search Coil Sample Rate,1000Hz
Waveform Generator,Keithley,Search Coil
0.362,0.020,-0.756
-0.033,-0.015,0.357
0.104,-0.030,0.451
0.220,0.031,1.028
0.496,0.026,-0.432
0.173,0.006,-0.925
-0.217,-0.032,-1.250
-0.581,-0.079,-1.572
-0.922,-0.104,-0.012
-0.597,-0.085,0.053
-0.359,-0.025,0.801
0.051,0.022,-0.003
0.030,-0.017,-0.956
-0.324,-0.029,-0.948
-0.538,-0.043,0.212
-0.264,-0.016,1.023
0.193,0.044,1.609
0.690,0.092,1.535
0.979,0.114,0.287
0.727,0.072,-0.520
0.295,0.021,-0.705
-0.058,-0.007,0.381
0.100,0.002,0.790
0.342,0.040,1.125
0.608,0.031,-0.474
0.219,0.015,-1.007
-0.215,-0.029,-1.426
-0.640,-0.087,-1.661
-0.991,-0.109,-0.042
-0.650,-0.067,0.296
-0.310,-0.015,0.931
0.123,-0.003,-0.459
-0.082,0.003,-0.690
-0.296,-0.020,-0.841
-0.483,-0.048,0.241
-0.221,-0.010,1.238
0.292,0.019,1.381
0.671,0.094,1.687
1.018,0.125,0.168
0.713,0.070,-0.379
0.322,0.020,-0.728
-0.050,-0.023,0.219
0.045,-0.004,0.975
0.371,0.002,0.840
0.527,0.059,0.010
0.339,0.038,-0.730
-0.041,-0.021,-1.433
-0.532,-0.072,-1.407
-0.837,-0.126,-0.359
-0.661,-0.061,0.475
-0.255,-0.000,0.860
0.142,0.030,-0.161
0.034,0.017,-0.596
-0.190,-0.023,-1.054
-0.490,-0.049,0.205
-0.240,-0.019,0.688
0.089,0.031,1.540
0.599,0.089,1.560
0.933,0.105,0.116
0.636,0.066,-0.284
0.305,-0.018,-1.049
-0.178,-0.030,0.230
-0.035,-0.006,0.739
0.243,0.025,0.998
0.504,0.054,-0.093
0.286,0.015,-1.110
-0.211,-0.040,-1.530
-0.676,-0.125,-1.961
-1.125,-0.125,-0.157
-0.773,-0.066,0.497
-0.318,-0.016,0.825
0.085,0.027,0.084
0.078,-0.013,-0.962
-0.287,-0.028,-0.856
-0.486,-0.071,0.005
-0.306,-0.027,1.124
0.200,0.048,1.768
0.750,0.097,1.590
1.036,0.122,0.292
0.764,0.074,-0.513
0.306,0.011,-0.853
-0.108,-0.057,-0.407
-0.213,-0.032,0.764
0.134,0.021,1.239
0.518,0.052,-0.044
0.313,0.024,-0.821
-0.095,-0.054,-1.741
-0.676,-0.087,-1.497
-0.957,-0.097,-0.048
-0.627,-0.062,0.406
-0.256,-0.004,1.036
0.199,0.037,-0.138
0.077,0.017,-0.690
-0.196,-0.015,-1.110
-0.508,-0.056,0.056
-0.303,-0.021,1.147
0.205,0.011,1.184
0.548,0.079,1.590
0.909,0.117,0.336
0.698,0.069,-0.389
0.308,0.016,-0.723
-0.061,-0.052,-0.108
-0.077,-0.014,0.898
0.266,0.040,1.145
0.572,0.057,-0.178
0.300,0.022,-1.003
-0.167,-0.065,-2.044
-0.830,-0.105,-1.689
-1.122,-0.120,-0.138
-0.766,-0.079,0.340
-0.370,-0.022,0.866
0.062,-0.005,-0.526
-0.148,-0.005,-0.676
-0.333,-0.026,-0.898
-0.526,-0.052,0.191
-0.266,-0.012,1.292
0.285,0.047,1.689
0.777,0.102,1.800
1.122,0.136,0.255
0.814,0.080,-0.338
0.401,0.026,-0.593
0.044,-0.040,-0.150
-0.024,-0.010,0.806
0.269,0.039,1.164
0.581,0.058,-0.096
0.336,0.033,-0.722
-0.042,-0.024,-1.553
-0.575,-0.079,-1.516
-0.902,-0.133,-0.523
-0.763,-0.073,0.409
-0.341,-0.008,0.926
0.107,0.028,-0.068
0.044,0.015,-0.551
-0.170,-0.049,-1.225
-0.540,-0.051,0.186
-0.281,-0.014,0.887
0.141,0.030,1.462
0.605,0.086,1.591
0.942,0.107,0.049
0.619,0.062,-0.237
0.307,-0.015,-1.131
-0.202,-0.034,0.204
-0.055,-0.008,0.939
0.294,0.032,1.055
0.557,0.056,0.148
0.401,0.007,-1.035
